id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
12YMKiDhe4oWheKjlVOmgB,Kepter,Lipswitch,6oYX9Cqeod5b8xk9YDduDh,['Richard Devine'],['4GELr4GU5inBcvzDntZhvv'],5,1,False,0.7859999999999999,0.94,11,-10.602,0,0.0961,0.0133,0.919,0.405,0.963,148.004,375773,4.0,2000,2000-07-13
2GjDfMnynXoD13k4IRUwP4,Asteroid No. 41,Voyage of the Homeless Spies,1OKz6mKMcEskzBmdDLRNlO,['DoppelgängeR'],['00C8IIHnmASr9ATIfj0vAx'],10,1,False,0.61,0.85,4,-1.489,0,0.0395,0.0746,0.0205,0.11,0.275,130.143,183760,4.0,2010,2010-09-15
3jmbIhguc5uxiOdZ7ak8H3,Corner of the Earth,A funk odyssey,6cLYs4e403jQk6PJ8PG9rs,['Jamiroquai'],['6J7biCazzYhU3gM9j1wfid'],4,1,False,0.473,0.552,2,-6.621,1,0.0302,0.252,9.120000000000001e-05,0.28800000000000003,0.276,79.486,338960,4.0,2001,2001-09-11
6ctxhmlUC2eLGCj89QzSqh,Aphasia,Dilate,0486pSVN7ElNqK7YyWrcj9,['Bardo Pond'],['2ZHNwvYaMbD8zuObAXVHEr'],4,1,False,0.16699999999999998,0.664,7,-12.905,1,0.0509,0.263,0.8759999999999999,0.395,0.23600000000000002,129.47299999999998,362200,3.0,2001,2001-04-24
71nTxcMe1XFRmzWxRYHEeJ,Step,Baby23,24BUwYiW8uDG5tBV428gBY,['JayDaYoungan'],['0E3pLs4jXz9tDQGY8m1A1d'],4,1,True,0.794,0.48,4,-7.501,0,0.132,0.0493,0.0,0.12,0.45,77.045,145735,4.0,2020,2020-06-05
4K6kT3x9D90xKD4UQPADAn,Maybe Tomorrow,Charmed,0SAoKUgaaxCU2NF7xqlCV9,['Stereophonics'],['21UJ7PRWb3Etgsu99f8yo8'],4,1,False,0.495,0.695,7,-5.556,0,0.0364,0.133,3.26e-05,0.42100000000000004,0.5870000000000001,80.81,273093,4.0,2003,2003-09-22
6DpyfmTh4EphMCsD8Kw3We,You Are Everything,American Idol Season 3: Greatest Soul Classics,3NovFl5uXa40jaoLY3z3Db,['John Stevens'],['4EW7CE2HetO7GkDEOYDrXF'],12,1,False,0.7020000000000001,0.376,3,-7.8420000000000005,0,0.0406,0.336,6.69e-06,0.0729,0.446,142.019,159027,4.0,2004,2004-04-27
4A6W0yuGgrGGeVYRwCHdS6,Blender,Totgesagte Leben Länger,4M6B4F9SWZpqkuGbxgGD25,['Megaherz'],['4tM8qmqg5cEZPHNLNQwHeb'],3,1,False,0.608,0.9329999999999999,1,-4.901,1,0.0507,0.00547,4.77e-06,0.0504,0.4320000000000001,105.054,260813,4.0,2009,2009-03-13
2ob3yehdNQzN5gfzdW35oW,Fun House,The City,4qyIzemkQ1iW4KhfsrUa7k,['DJ Roc'],['4yezvNBtagNhqxb9WEPQeH'],11,1,False,0.897,0.642,10,-6.121,0,0.0501,8.92e-05,0.6829999999999999,0.0789,0.7879999999999999,128.07,211895,4.0,2013,2013-02-20
4IIkC2Ozna0GArN7whGupF,Ultima Thule,Helt Borte,7EzqjCZl8OG0RTgsx8J9UR,['Pechenga'],['6nWc8FJj9Aw28TX1p2WxSa'],8,1,False,0.06,0.0123,0,-21.84,1,0.0435,0.35,0.943,0.0954,0.0391,66.42,230040,4.0,2011,2011-05-09
35oBAjIjtTwizHw6UYo31m,Maqam Bayyati,Taqasim: The Art of Improvisation in Arabic Music,27wsda7v84WVk8dxfSNT2s,"['Ali Jihad Racy', 'Simon Shaheen']","['3XNjqJKnHq6XYlQhn37aEz', '50kHo3Q3Rn1v441ISI00Rh']",3,1,False,0.484,0.226,6,-16.41,0,0.099,0.875,0.9179999999999999,0.08800000000000001,0.381,96.131,535160,4.0,1977,1977
6ZmlDKz9xAxXugrsLcGFNi,A Wreath Of Rain,The Constant Flame,7qnz7oV8TlEcP9nj4rPY4D,['Alex Cline Ensemble'],['1gIzRzH9NwYmPOisbjtcFl'],4,1,False,0.23,0.161,4,-17.422,0,0.0369,0.7659999999999999,0.22,0.0886,0.0399,135.298,729480,4.0,2001,2001
2KHBCQAE2Pp3jJdTP989Vp,"5 Pieces pour clavecin seul, extraites de Pieces de clavecin en concerts: L' Agacante","Rameau: Harpsichord Music, Vol. 2",52j2G4e6LeRQ688nIOjHNf,"['Jean-Philippe Rameau', 'Gilbert Rowland']","['4JSWO1Pf2zV991fq64uAce', '3iLAiLVIJKBkTOQbiDfO2x']",17,1,False,0.365,0.32299999999999995,6,-16.508,1,0.0317,0.596,0.57,0.083,0.8240000000000001,109.53200000000001,157333,3.0,1994,1994-11-03
70vFzuMTRdAMBnMP9USRUZ,If Loving You Was Easy,Infinite Things (Deluxe Version),3g2kKcxwX4I7ttohCuZkkF,['Paloma Faith'],['4fwuXg6XQHfdlOdmw36OHa'],9,1,True,0.314,0.387,9,-5.345,0,0.0316,0.6890000000000001,0.0,0.11,0.245,79.818,224867,4.0,2020,2020-11-27
2ez4qCQq1tdkr6seB59CHV,Creeper,Surf! Surf! Surf!,1xrjIAra3hWS6SLAYO28XT,['Aqualads'],['0KyrBpepYmsUimnZPsqnN6'],15,1,False,0.3,0.368,4,-11.133,0,0.0362,0.605,0.507,0.10400000000000001,0.0615,151.576,230107,4.0,2004,2004-01-01
7LS50zI4DeRzwOsnHK4ANO,Psychosexual,Cure For Sanity,6yuGZO9460TzKMMZ7qQZez,['Pop Will Eat Itself'],['5rIXueJu7zVE2gDZjUM6g8'],9,1,False,0.762,0.664,9,-19.134,0,0.0594,0.0825,0.0123,0.0746,0.961,120.01,136093,4.0,1990,1990-10-30
5gklqydYeqH4XB3xIC8YE5,Pachelbel's Canon,Music for Massage,1yjj4Y2MlocLUBbLM61T4v,['Steven Halpern'],['2J3qGaj5UzHvu0fjlLgb8k'],2,1,False,0.11699999999999999,0.192,0,-18.12,1,0.0322,0.9570000000000001,0.973,0.0709,0.0361,172.403,401720,4.0,2009,2009-04-04
4PergxapB0gdNfRmiFxM7D,Microscopic View of a Telescopic Realm,Microscopic View of a Telescopic Realm,4KVb6yoPpyRw1hjDapAlMr,['Tourniquet'],['3lHPBMb024SqetFwwVwuwH'],3,1,False,0.336,0.966,9,-3.813,1,0.0883,0.000207,0.0025399999999999997,0.243,0.326,102.67200000000001,373667,4.0,2000,2000-01-01
5jemkJFS4uClnfmLDjixrF,Hometown Girl,Hometown Girl,0DVTHjL5KC4jPDwLSqNwff,['Mary Chapin Carpenter'],['0qAmeOULjwn04k6jMMeDyr'],3,1,False,0.37,0.121,7,-18.449,1,0.0326,0.8740000000000001,0.00143,0.273,0.263,175.709,288733,4.0,1987,1987
59QwDxFDbKMWguJwECHhhT,The Alien Song,Generations 1: A Punk Look At Human Rights,6mls7566fEsdTMp0Somgyn,['Red Aunts w/Exene Cervernkova'],['4hNu4xZZx5qjI5sbfDYwHQ'],2,1,False,0.235,0.9259999999999999,4,-5.03,1,0.132,0.0991,6.929999999999999e-05,0.684,0.406,200.018,167080,4.0,1996,1996
7thMV38thojfFJY8fCE52C,R and R,Charles Mingus and the Newport Rebels,1q9pjcAkROwZmKfEDHVTh0,"['Charles Mingus', 'Eric Dolphy', 'Roy Eldridge']","['1W8TbFzNS15VwsempfY12H', '6rxxu32JCGDpKKMPHxnSJp', '4RvXA7BDgqNgGDjsSSJnPc']",6,1,False,0.505,0.153,5,-19.723,1,0.0627,0.8170000000000001,0.0902,0.11599999999999999,0.452,145.614,711667,4.0,1960,1960
